nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName
ACONF00102,1580,2538,2,BTM,HALL,Hall,Hall
ACONF00103,1648,2968,3,BTM,CONF,BTM Conference Center,BTM Conference
ACONF0010G,1671,2648,G,BTM,CONF,Schlagler Innovation Lobby,Schlagler Lobby
ADEPT00101,1401,2628,1,BTM,DEPT,Neuroscience Waiting Room,Neuro Waiting Room
ADEPT00102,1395,2674,2,BTM,DEPT,Orthopedics and Rhemutalogy,Orthopedics and Rhemutalogy
ADEPT0010G,1530,2495,G,BTM,DEPT,Neuro Testing Waiting Area ,Neuro Wating Area
ADEPT00201,1720,2847,1,BTM,DEPT,MS Waiting,MS Waiting
ADEPT0020G,1552,2843,G,BTM,DEPT,Infusion Waiting Area ,Infusion Waiting Area
ADEPT00301,986,2852,1,BTM,DEPT,CART Waiting,CART Waiting
AELEV00S01,1534,2777,1,BTM,ELEV,Elevator S 01,Elevator S 1
AELEV00S02,1532,2777,2,BTM,ELEV,Elevator S 02,Elevator S 2
AELEV00S03,1539,2773,3,BTM,ELEV,Elevator S Floor 3,Elevator S 3
AELEV00S0G,1523,2763,G,BTM,ELEV,Elevator S G,Elevator S G
AELEV00SL2,1630,2742,L2,BTM,ELEV,Elevator S L2,Elevator S L2
AEXIT0010G,1678,2460,G,BTM,EXIT,Fenwood Road,Fenwood Road
AEXIT001L2,1696,2788,L2,BTM,EXIT,Parking Garage L2,Parking Garage L2
AHALL00101,1638,2553,1,BTM,HALL,Hall,Hall
AHALL00102,1591,2560,2,BTM,HALL,Hall,Hall
AHALL00103,1534,2732,3,BTM,HALL,Hall,Hall
AHALL0010G,1677,2530,G,BTM,HALL,Hall,Hall
AHALL001L2,1627,2782,L2,BTM,HALL,Hallway to Elevator,Hall
AHALL00201,1608,2596,1,BTM,HALL,Hall,Hall
AHALL00202,1590,2604,2,BTM,HALL,Hall,Hall
AHALL00203,1600,2732,3,BTM,HALL,Hall,Hall
AHALL0020G,1623,2531,G,BTM,HALL,Hall,Hall
AHALL002L2,1698,2776,L2,BTM,HALL,Hallway Intersection,Hall
AHALL00301,1608,2737,1,BTM,HALL,Hall,Hall
AHALL00302,1590,2745,2,BTM,HALL,Hall,Hall
AHALL00303,1650,2732,3,BTM,HALL,Hall,Hall
AHALL003L2,1701,2734,L2,BTM,HALL,Hall,Hall
AHALL00401,1420,2737,1,BTM,HALL,Hall,Hall
AHALL00402,1528,2745,2,BTM,HALL,Hall,Hall
AHALL00403,1650,2766,3,BTM,HALL,Hall,Hall
AHALL0040G,1528,2531,G,BTM,HALL,Hall,Hall
AHALL004L2,1698,2687,L2,BTM,HALL,Hall,Hall
AHALL00501,1420,2865,1,BTM,HALL,Hall,Hall
AHALL00502,1398,2745,2,BTM,HALL,Hall,Hall
AHALL00503,1650,2855,3,BTM,HALL,Hall,Hall
AHALL0050G,1713,2558,G,BTM,HALL,Hall,Hall
AHALL00601,1678,2865,1,BTM,HALL,Hall,Hall
AHALL00602,1683,2543,2,BTM,HALL,Hall,Hall
AHALL00603,1580,2858,3,BTM,HALL,HallNode,HallNode
AHALL0060G,1595,2583,G,BTM,HALL,Hall,Hall
AHALL00701,1017,2865,1,BTM,HALL,Hall,Hall
AHALL0070G,1712,2647,G,BTM,HALL,Hall,Hall
AHALL00801,1532,2739,1,BTM,HALL,Hall,Hall
AHALL0080G,1602,2706,G,BTM,HALL,Hall,Hall
AHALL00901,1581,2566,1,BTM,HALL,Hall,Hall
AHALL0090G,1524,2726,G,BTM,HALL,Hall,Hall
AHALL01001,1605,2568,1,BTM,HALL,Hall,Hall
AHALL0100G,1600,2853,G,BTM,HALL,Hall,Hall
AHALL0110G,1550,2853,G,BTM,HALL,Hall,Hall
AHALL0120G,1548,2538,G,BTM,HALL,Hall,Hall
AHALL0130G,1582,2533,G,BTM,HALL,Hall,Hall
AHALL0140G,1599,2727,G,BTM,HALL,Hall,Hall
AHALL0150G,1598,2532,G,BTM,HALL,Hall,Hall
AINFO0010G,1484,2710,G,BTM,INFO,BTM Security Desk,Security
AINFO001L2,1681,2747,L2,BTM,INFO,BTM Security Desk,Security
AINFO0020G,1699,2707,G,BTM,INFO,Information Desk,Information
ALABS00103,1611,2678,3,BTM,LABS,Innovation Hub,Innovation Hub
ALABS001L2,1667,2682,L2,BTM,LABS,MRI CT Scan Imaging,MRI CT Imaging
ALABS00203,1671,2695,3,BTM,LABS,Clinical Trials,Clinical Trials
AREST00101,1556,2604,1,BTM,REST,Restroom S elevator 1st floor,Restroom
AREST00103,1552,2854,3,BTM,REST,Restroom BTM conference center 3rd floor,Restroom
ARETL00101,1619,2522,1,BTM,RETL,Cafe,Cafe
ASTAI00101,1642,2596,1,BTM,STAI,Cafe Stairs,Cafe Staris
ASTAI00102,1650,2602,2,BTM,STAI,Stairs Floor 2,Stairs Floor 2
ASTAI0010G,1622,2556,G,BTM,STAI,Schlagler Stairs,Schlager Stairs
BCONF00102,2150,1025,2,45 Francis,CONF,Duncan Reid Conference Room,Conf B0102
BDEPT00102,2260,786,2,45 Francis,DEPT,Comprehensive Breast Heath,DEPT B0102
BDEPT00202,2166,1039,2,45 Francis,DEPT,Oral Medicine and Dentistry,DEPT B0202
BDEPT00302,2385,753,2,45 Francis,DEPT,Lee Bell Breast Center,DEPT B0302
BDEPT00402,2439,902,2,45 Francis,DEPT,Jen Center for Primary Care,DEPT B0402
BDEPT00502,2623,1018,2,45 Francis,DEPT,Ear Nose & Throat,DEPT B0502
BDEPT00602,2782,1303,2,45 Francis,HALL,Hallway Intersection 31 Level 2,Hallway B3102
BDEPT00702,2945,775,2,45 Francis,DEPT,Plastic Surgery,DEPT B0702
BDEPT00802,3155,890,2,45 Francis,DEPT,Outpatient Pharmacy,DEPT B0802
BDEPT00902,3257,879,2,45 Francis,DEPT,Weiner Center for Preoperative Evaluation,DEPT B0902
BHALL00102,2238,902,2,45 Francis,HALL,Hallway Intersection 1 Level 2,Hallway B0102
BHALL00202,2279,902,2,45 Francis,HALL,Hallway Intersection 2 Level 2,Hallway B0202
BHALL00302,2238,1028,2,45 Francis,HALL,Hallway Intersection 3 Level 2,Hallway B0302
BHALL00402,2246,1280,2,45 Francis,HALL,Hallway Intersection 4 Level 2,Hallway B0402
BHALL00502,2385,902,2,45 Francis,HALL,Hallway Intersection 5 Level 2,Hallway B0502
BHALL00602,2605,902,2,45 Francis,HALL,Hallway Intersection 6 Level 2,Hallway B0602
BHALL00702,2672,902,2,45 Francis,HALL,Hallway Intersection 7 Level 2,Hallway B0702
BHALL00802,2605,783,2,45 Francis,HALL,Hallway Intersection 8 Level 2,Hallway B0802
BHALL00902,2330,590,2,45 Francis,HALL,Hallway Intersection 9 Level 2,Hallway B0902
BHALL01002,2713,902,2,45 Francis,HALL,Hallway Intersection 10 Level 2,Hallway B1002
BHALL01102,2912,903,2,45 Francis,HALL,Hallway Intersection 11 Level 2,Hallway B1102
BHALL01202,2945,902,2,45 Francis,HALL,Hallway Intersection 12 Level 2,Hallway B1202
BHALL01302,3135,890,2,45 Francis,HALL,Hallway Intersection 13 Level 2,Hallway B1302
BHALL01402,3296,880,2,45 Francis,HALL,Hallway Intersection 14 Level 2,Hallway B1402
BHALL01502,2672,820,2,45 Francis,HALL,Hallway Intersection 15 Level 2,Hallway B1502
BHALL01602,2721,750,2,45 Francis,HALL,Hallway Intersection 16 Level 2,Hallway B1602
BHALL01702,2945,710,2,45 Francis,HALL,Hallway Intersection 17 Level 2,Hallway B1702
BHALL01802,2610,953,2,45 Francis,HALL,Hallway Intersection 18 Level 2,Hallway B1802
BHALL01902,2678,1032,2,45 Francis,HALL,Hallway Intersection 19 Level 2,Hallway B1902
BHALL02002,2761,1032,2,45 Francis,HALL,Hallway Intersection 20 Level 2,Hallway B2002
BHALL02102,2841,1032,2,45 Francis,HALL,Hallway Intersection 21 Level 2,Hallway B2102
BHALL02202,2900,985,2,45 Francis,HALL,Hallway Intersection 22 Level 2,Hallway B2202
BHALL02302,2912,963,2,45 Francis,HALL,Hallway Intersection 23 Level 2,Hallway B2302
BHALL02502,3163,945,2,45 Francis,HALL,Hallway Intersection 25 Level 2,Hallway B2502
BHALL02602,3296,945,2,45 Francis,HALL,Hallway Intersection 26 Level 2,Hallway B2602
BHALL02702,3296,1043,2,45 Francis,HALL,Hallway Intersection 27 Level 2,Hallway B2702
BHALL02802,3063,1043,2,45 Francis,HALL,Hallway Intersection 28 Level 2,Hallway B2802
BHALL02902,2782,1091,2,45 Francis,HALL,Hallway Intersection 29 Level 2,Hallway B2902
BHALL03002,2782,1165,2,45 Francis,HALL,Hallway Intersection 30 Level 2,Hallway B3002
BHALL03102,2554,1280,2,45 Francis,HALL,Hallway Intersection 31 Level 2,Hallway B3102
BHALL03202,2554,1472,2,45 Francis,HALL,Hallway Intersection 32 Level 2,Hallway B3202
BHALL03302,2782,1280,2,45 Francis,HALL,Hallway Intersection 33 Level 2,Hallway B3302
BHALL03402,2166,1028,2,45 Francis,HALL,Hallway Intersection 34 Level 2,Hallway B3402
BHALL03502,2246,1028,2,45 Francis,HALL,Hallway Intersection 35 Level 2,Hallway B3502
BHALL03602,2279,762,2,45 Francis,HALL,Hallway Intersection 36 Level 2,Hallway B3602
BHALL03702,2322,641,2,45 Francis,HALL,Hallway Intersection 37 Level 2,Hallway B3702
BHALL03802,2279,786,2,45 Francis,HALL,Hallway Intersection 38 Level 2,Hallway B3802
BHALL04102,2678,1067,2,45 Francis,HALL,Hallway Intersection 41 Level 2,Hallway B04102
BHALL04202,2761,1067,2,45 Francis,HALL,Hallway Intersection 42 Level 2,Hallway B04202
BHALL04302,2782,1067,2,45 Francis,HALL,Hallway Intersection 43 level 2,Hallway B04302
BHALL04402,3063,963,2,45 Francis,HALL,Hallway Intersection 44 Level 2,Hallway B4402
BINFO00102,2962,963,2,45 Francis,INFO,Information Desk Level 2,INFO B0102
BINFO00202,3136,963,2,45 Francis,INFO,Valet Service Level 2,INFO B0202
BLABS00102,2246,1350,2,45 Francis,LABS,Vascular Diagnostic Lab,Labs B0102
BLABS00202,2945,995,2,45 Francis,LABS,Outpatient Specimen Collection,Labs B0202
BREST00102,2177,1010,2,45 Francis,REST,Restroom 1 Level 2,REST B0102
BREST00202,2605,841,2,45 Francis,REST,Restroom 2 Level 2,REST B0202
BREST00302,2225,1280,2,45 Francis,REST,Restroom 3 Level 2,REST B0302
BREST00402,2554,1389,2,45 Francis,REST,Restroom 4 Level 2,REST B0402
BREST00502,2782,1152,2,45 Francis,REST,Restroom 5 Level 2,REST B0502
