nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName,polygonCoords
1,1367,1718,1,1,WORKZONE,WorkZone 1,WorkZone 1,787 2227;787 2069;919 2069;919 1486;786 1486;786 1332;928 1332;928 1266;1144 1266;1144 1345;1525 1345;1525 1134;1734 1134;1836 1057;1836 1338;1915 1338;1915 1482;1915 1694;1836 1704;1836 2066;1326 2069;1326 2227
2,1404,875,1,1,WORKZONE,WorkZone 2,WorkZone 2,1032 558;1810 558;1810 928;1836 1059;1734 1134;1525 1134;1525 1345;1144 1345;1144 1044;1031 966
3,524,980,1,1,WORKZONE,WorkZone 3,WorkZone 3,198 556;1032 558;1031 966;1144 1044;1144 1266;928 1266;928 1332;786 1332;786 1486;198 1482
4,449,1877,1,1,WORKZONE,WorkZone 4,WorkZone 4,198 1482;919 1486;919 2069;784 2069;787 2227;197 2225
5,1806,2519,1,1,WORKZONE,WorkZone 5,WorkZone 5,1326 3022;1326 2065;2081 2069;1836 2066;1836 1981;1905 1981;1905 2078;2295 2078;2295 2520;2349 2601;2349 3022
6,2520,2381,1,1,CONF,Mission Hill Conference Room,Mission Hill Conference Room,2295 2275;2734 2275;2734 2519;2295 2520
7,2507,2147,1,1,CLASSROOM,Classroom 1,Classroom 1,2295 2275;2734 2275;2735 2024;2295 2024
8,3082,1665,1,1,CLASSROOM,Classroom 2,Classroom 2,3053 1902;3267 1826;3129 1444;2915 1521
9,2944,1282,1,1,CLASSROOM,Classroom 3,Classroom 3,3129 1444;3059 1253;3086 1241;3007 1119;2870 1075;2770 1124;2915 1521
10,2617,753,1,1,CLASSROOM,Classroom 4,Classroom 4,2481 558;2682 558;2815 928;2482 928
11,2458,1291,1,1,CLASSROOM,Classroom 5,Classroom 5,2614 1101;2614 1482;2302 1482;2302 1101
12,2318,755,1,1,CLASSROOM,Classroom 6,Classroom 6,2481 558;2481 928;2154 928;2155 558
13,2183,1284,1,1,CLASSROOM,Classroom 7,Classroom 7,2302 1101;2302 1482;2060 1482;2060 1101
14,1974,736,1,1,CLASSROOM,Classroom 8,Classroom 8,2155 558;2154 928;1810 928;1810 558
15,1954,1222,1,1,CLASSROOM,Classroom 9,Classroom 9,2060 1101;2060 1338;1836 1338;1836 1101
16,3209,2170,1,1,AUDITORIUM,Mission Hill Auditorium,Mission Hill Auditorium,3267 1826;3408 2232;3378 2323;3332 2384;3196 2465;3186 2430;2915 2430;2914 2268;3068 1995;3135 1964;3107 1886
